Designator,Footprint,Quantity,Value,LCSC Part #
"_102, _101, _100, _99, _98, _97, _96, _95, _94, _93, _92, _91, _90, _89, _88, _87, _86, _85, _84, _83, _82, _81, _80, _79, _78, _77, _76, _75, _74, _73, _72, _71, _70, _69, _68, _67, _66, _65, _64, _63, _62, _61, _60, _59, _58, _57, _56, _55, _54, _53, _52, _51, _50, _49, _48, _47, _46, _45, _44, _43, _42, _41, _40, _39, _38, _37, _36, _35, _34, _33, _32, _31, _30, _29, _28, _27, _26, _25, _24, _23, _22, _21, _20, _19, _18, _17, _16, _15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,102,,
"C1001, C1002, C1203, C1303, C1403, C1503, C1603, C1703, C1803, C1903, C2003, C2103, C2203, C2303, C2403, C2503, C2603, C2703, C2803, C2903, C401, C402, C407, C408, C409, C410, C504, C505, C601, C604, C605, C616, C701, C801, C903",0402,35,100n X7R 16V,
"C1201, C1301, C1401, C1501, C1601, C1701, C1801, C1901, C2001, C2101, C2201, C2301, C2401, C2501, C2601, C2701, C2801, C2901, C602, C617, C618, C702, C703",0603,23,10u X5R 16V,
"C1202, C1302, C1402, C1502, C1602, C1702, C1802, C1902, C2002, C2102, C2202, C2302, C2402, C2502, C2602, C2702, C2802, C2902",0603,18,100n X7R 50V,
"C3001, C3002, C3003, C3004",0603,4,1n X7R 1kV,
"C403, C503, C506",0603,3,4u7 X7R 16V,
"C501, C502",1206,2,47u X5R 16V,
"C603, C802",0603,2,1u X7R 16V,
"C606, C609, C615",0402,3,10n C0G 25V,
"C607, C613",0402,2,470n X5R 25V,
"C608, C614",0402,2,22n X7R 25V,
C610,0402,1,150n X7R 25V,
C611,0402,1,2n2 X7R 25V,
C612,0402,1,390pF X7R 25V,
C901,0603,1,220n X7R 16V,
"C902, C904",0603,2,2u2 X7R 16V,
D401,SOT-23-5-TEXAS,1,ESDS314,
D601,D_SOD-123FL,1,TVS SMF5.0A,
D701,Nexperia_CFP3_SOD-123W,1,Schottky 1N5819W,
D901,INPI22TAT5R5G5B,1,IN-PI22TAT5R5G5B,
"IC1201, IC1301, IC1401, IC1501, IC1601, IC1701, IC1801, IC1901, IC2001, IC2101, IC2201, IC2301, IC2401, IC2501, IC2601, IC2701, IC2801, IC2901",WQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm_ThermalVias,18,DRV8214RTER,
IC901,SOT-553,1,SN74AHCT1G125DRLR,
IC902,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,REG71050DRVR,
J502,CONN_S2B-PH-SM4-TB_JST,1,S2B-PH-SM4-TB,
J602,USB4125-GF-A,1,USB_C_Receptacle_PowerOnly_6P,
"LED1201, LED1301, LED1401, LED1501, LED1601, LED1701, LED1801, LED1901, LED2001, LED2101, LED2201, LED2301, LED2401, LED2501, LED2601, LED2701, LED2801, LED2901",LED_0603_KingBright,18,BLUE,
"LED501, LED601",LED_0603_KingBright,2,GREEN,
Q501,SOT-23,1,NMOS IRLML6344TRPBF SOT-23,
Q502,CSD85302L,1,CSD85302L,
Q601,Texas_DSBGA-9_1.62x1.58mm_Layout3x3_P0.5mm,1,CSD75207W15,
Q701,SOT-23-3,1,PMOS SI2365EDS-T1-GE3,
"R1001, R1002, R502, R802, R803, R804, R805, R806, R807",0402,9,3k 1%,
"R1201, R1301, R1401, R1501, R1601, R1701, R1801, R1901, R2001, R2101, R2201, R2301, R2401, R2501, R2601, R2701, R2801, R2901",0402,18,680R 1%,
"R1202, R1302, R1402, R1502, R1602, R1702, R1802, R1902, R2002, R2102, R2202, R2302, R2402, R2502, R2602, R2702, R2802, R2902, R401, R501, R505, R601",0402,22,330R 1%,
"R1203, R1303, R1403, R1503, R1603, R1703, R1803, R1903, R2003, R2103, R2203, R2303, R2403, R2503, R2603, R2703, R2803, R2903, R404, R406, R509, R701, R801, R901",0402,24,100k 1%,
"R3001, R3002, R3003, R3004",0603,4,0R 1%,
"R402, R503, R605, R606, R608",0402,5,10k 1%,
"R403, R405",0402,2,22R 1%,
"R504, R508",0402,2,2k2 1%,
"R506, R507",0402,2,4M99 1%,
"R602, R603",0402,2,5k1 1%,
"R604, R607",0402,2,196R 1%,
"SW401, SW402, SW404, SW405, SW406, SW407",SW_KMR232NGULCLFS,6,KMR232NG ULC,
SW403,CAS-D2xx,1,CAS-D20A1,
U1001,Bosch_LGA-14_3x2.5mm_P0.5mm,1,BMI270,
U401,ST-SiP-LGA-86-11x7.3mm,1,STM32WB5MMGH6TR,
U501,WSON-6_1.5x1.5mm_P0.5mm,1,BQ29737DSER,
U502,DFN_2x3mm,1,MCP73831T-2ACI/MC,
U601,Texas_VQFN-RHL-20,1,BQ51013CQWRHLRQ1,
U701,Texas_X2SON-4_1x1mm_P0.65mm,1,TPS3839G33DQNR,
U702,SOT-23-5-TEXAS,1,TPS7A0233DBVR,
U801,Texas_RSA_VQFN-16-1EP_4x4mm_P0.65mm_EP2.16x2.16mm,1,PCA9546ARGVR,
